# Spanish source<TAB>English display. Literal \n means a line break.
Inicio	Home
Zonas	Areas
Pruebas	Tests
Avanzado	Advanced
Elige el modo y empieza a pescar.	Choose a mode and start fishing.
Marca las áreas y los botones una vez.	Set your areas and buttons once.
Comprueba la compra y las lecturas.	Test purchases and readings.
Ajustes de detección, tiempos y reposición.	Detection, timing and restocking settings.
Guía rápida	Quick guide
Guardar	Save
Guarda las zonas y los ajustes actuales.	Save your current areas and settings.
Código incluido	Source included
Reposición de cebo	Bait restocking
Comprar cebo · usa Peli	Buy bait · uses Peli
Activa la reposición por contador o cronómetro. Permanece junto al barril de cebo.	Enable restocking by counter or timer. Stay near the bait barrel.
Contador OCR	OCR counter
Cronómetro	Timer
Compra una cantidad cada cierto tiempo.	Buy a set amount at regular intervals.
Repone según el contador de cebo.	Restock based on the bait counter.
Cebos por compra	Bait per purchase
Cada (minutos)	Every (minutes)
Cantidad que se escribe en cada compra. El juego puede limitarla según capacidad y Peli.	Amount entered for each purchase. The game may limit it based on capacity and Peli.
Cuenta desde el inicio. Pausa la pesca para comprar y reinicia el intervalo tras la secuencia.	Counts from the start. Pauses fishing to buy and restarts the timer after the sequence.
Con 	With 
 cebos o menos,\ncompletar hasta 	 bait or less,\nrefill to 
Configurar contador	Set up counter
Configurar zonas	Set up areas
Ir a pruebas	Go to tests
Última parada	Last stop
Sesión	Session
Rondas: 	Rounds: 
Cebos: 	Bait: 
Configura las zonas para empezar.	Set up your areas to get started.
El cronómetro empieza al iniciar la pesca.	The timer starts when you start fishing.
Inicia con Roblox en primer plano.	Start with Roblox in the foreground.
F8 inicia o detiene. F10 detiene.	F8 starts or stops. F10 stops.
Áreas y lanzamiento	Areas and casting
Barra de pesca · F6	Fishing bar · F6
Sin seleccionar	Not selected
Rodea toda la barra azul con margen lateral. Enter o F6 confirma; Esc cancela.	Select the entire blue bar with room on both sides. Enter or F6 confirms; Esc cancels.
Punto en el agua	Water point
Elige dónde debe apuntar el ratón al volver a lanzar.	Choose where the mouse should aim before casting again.
Contador de cebo	Bait counter
Para OCR, rodea solo la x y el número.	For OCR, select only the x and the number.
Selecciona un solo tipo de cebo, por ejemplo x300, sin el borde amarillo ni otros números.	Select one bait type, such as x300, without the yellow border or other numbers.
3 botones de compra	3 purchase buttons
Abre el menú de cantidad y marca el centro\nde cada botón.	Open the quantity menu and mark the center\nof each button.
1. Izquierda · Sí / Comprar	1. Left · Yes / Buy
2. Centro · Número / …	2. Middle · Number / …
3. Derecha · No / Cancelar	3. Right · No / Cancel
Sin marcar	Not marked
Solo guarda el punto; el clic de selección no llega al juego.	Only saves the point; the selection click is not sent to the game.
Conserva la posición y el tamaño del juego.	Keep the game window's size and position.
Probar una compra	Test a purchase
Compra	Purchase
Lecturas	Readings
Sin cebo	No bait
Probar sin cebo	Test no bait
Simula 0 y compra 1 cebo con Peli.	Simulates 0 and buys 1 bait using Peli.
Simula 0 y da un solo salto en el sitio.	Simulates 0 and jumps once in place.
Compra y saltos desactivados.\nLa prueba lo indicará sin actuar.	Purchases and jumps are off.\nThe test reports this without sending input.
Cantidad de prueba	Test quantity
Usa Peli · un intento.\nSin OCR ni cronómetro.	Uses Peli · one attempt.\nNo OCR or timer wait.
Probar compra	Test purchase
Inicio en 3 s. Vuelve al juego con los diálogos cerrados. F10 cancela.	Starts in 3 s. Return to the game with dialogs closed. F10 cancels.
Resultado	Result
Copiar resultado	Copy result
Resultado copiado.	Result copied.
No se pudo copiar. El registro sigue disponible.	Could not copy. The log is still available.
También se guarda en ultima-prueba.txt, junto al programa. No se envía automáticamente.	Also saved to ultima-prueba.txt next to the program. Never sent automatically.
Ejecuta una prueba para ver el resultado.	Run a test to see the result.
Detector de pesca	Fishing detector
Selecciona la barra en Zonas	Select the bar in Areas
Solo lectura. No envía clics.	Read only. No clicks are sent.
Ver detector	View detector
Ejemplo	Example
Celeste: barra. Naranja: hueco. Rosa: pez. El progreso verde se ignora.	Cyan: bar. Orange: gap. Pink: fish. Green progress is ignored.
Selecciona el contador en Zonas	Select the counter in Areas
Rodea solo la x y el número.	Select only the x and the number.
Probar lectura	Test reading
Solo lee la zona seleccionada. No envía clics, saltos ni compras.	Only reads the selected area. No clicks, jumps or purchases.
Simula cero: compra una unidad, da un salto o informa que ambas opciones están apagadas, según tus ajustes.	Simulates zero: buys one bait, jumps once or reports that both options are off, based on your settings.
Una compra de la cantidad indicada, usando los 3 puntos marcados. No requiere OCR ni espera el cronómetro.	One purchase of the chosen quantity using your 3 points. No counter OCR or timer wait required.
Si no conoces estos ajustes, déjalos como están.	If you are unsure about these settings, leave them as they are.
Pesca	Fishing
Volver a lanzar automáticamente	Recast automatically
Mantener clic sube el hueco	Holding click raises the gap
Clic al lanzar (ms)	Cast hold (ms)
Espera de picada (s)	Bite wait (s)
Pausa entre rondas (ms)	Pause between rounds (ms)
Tolerancia de color	Color tolerance
Anticipación (ms)	Anticipation (ms)
Si el hueco se pasa del pez, aumenta el valor; si responde antes de tiempo, bájalo.	Increase if the gap overshoots the fish; decrease if it responds too early.
Ajusta primero la zona si el detector no encuentra el hueco o la línea.	Adjust the area first if the detector cannot find the gap or line.
Color de barra	Bar color
Color de línea del pez	Fish line color
Compra y contador	Purchase and counter
Mantener E (ms)	Hold E (ms)
Pausa entre pasos (ms)	Pause between steps (ms)
Tope por sesión	Session purchase limit
Comprar si quedan ≤	Buy when bait is ≤
Capacidad de cebo	Bait capacity
Idioma OCR del contador	Counter OCR language
Automático (Windows)	Automatic (Windows)
Idioma cambiado. Vuelve a probar la lectura.	OCR language changed. Test the reading again.
Idiomas OCR instalados en Windows. Solo se aplica al contador.	OCR languages installed in Windows. Applies only to the counter.
Duración de la tecla E para abrir la compra.	How long E is held to open the purchase dialog.
Espera entre las acciones del diálogo. Aumenta si el juego tarda en mostrar los botones.	Wait between dialog actions. Increase if the game takes longer to display buttons.
Máximo de intentos de compra por sesión.	Maximum purchase attempts per session.
Umbral que activa la reposición al confirmar el contador.	Threshold that triggers restocking after confirming the counter.
Total de cebo deseado. Con capacidad 300 y contador 2, solicita 298.	Desired total bait. With a capacity of 300 and a counter of 2, requests 298.
Espera y lector	Idle wait and reader
Saltar durante la espera	Jump while waiting
Leer contador fuera de compras	Read counter outside purchases
La reposición por OCR activa el lector automáticamente. Cronómetro no necesita leer el contador.	OCR restocking enables the reader automatically. Timer mode does not need it.
Intervalo de salto (s)	Jump interval (s)
Salta en el sitio si falta cebo o tras tres lanzamientos sin minijuego. No garantiza evitar una desconexión.	Jumps in place when bait is missing or after three casts without a minigame. Does not guarantee staying connected.
Detenida · lista para configurar	Stopped · ready to set up
Permitir clics y teclas	Allow clicks and keys
Autoriza entradas al iniciar. Se desmarca al abrir el programa de nuevo.	Allow input when starting. Unchecked each time you open the program.
Iniciar · 3 s	Start · 3 s
Detener · F10	Stop · F10
Detener · F8	Stop · F8
Detenida por ti	Stopped by you
Vuelve a Roblox durante los 3 segundos. F8 inicia desde el juego; F10 cancela.	Return to Roblox within 3 seconds. F8 starts from the game; F10 cancels.
1. En Zonas, marca la barra, el agua y los botones de compra.\n2. Elige Contador OCR o Cronómetro en Inicio.\n3. Prueba la compra y las lecturas en Pruebas.\n4. Permite las entradas y vuelve a Roblox para iniciar.\n\nF6 selecciona la barra. F8 inicia o detiene. F10 detiene.\nCambiar de ventana también detiene la macro.	1. In Areas, mark the bar, water point and purchase buttons.\n2. Choose OCR counter or Timer in Home.\n3. Check purchases and readings in Tests.\n4. Allow input and return to Roblox to start.\n\nF6 selects the bar. F8 starts or stops. F10 stops.\nSwitching windows also stops the macro.
No se pudo leer el informe de la última parada.	Could not read the last stop report.
No se pudieron cargar los ajustes: 	Could not load settings: 
No se pudo leer la última prueba.	Could not read the last test.
No disponible: 	Unavailable: 
Zona: 	Area: 
Seleccionar zona · F6	Select area · F6
Cambiar zona · F6	Change area · F6
Punto de lanzamiento listo	Casting point ready
Punto sin seleccionar	Point not selected
Los 3 botones están listos.	All 3 buttons are ready.
Marca los 3 botones antes de comprar.	Mark all 3 buttons before buying.
Punto guardado: 	Saved point: 
Zona del minijuego: 	Minigame area: 
Punto en el agua: 	Water point: 
Equipa la caña y elige un punto sobre el agua.	Equip your rod and choose a point on the water.
Zona del contador: 	Counter area: 
F10 está ocupado. Cierra la otra macro y vuelve a abrir esta aplicación.	F10 is in use. Close the other macro and reopen this application.
F8 está ocupado. Puedes usar el botón de inicio y F10 para parar.	F8 is in use. You can use the Start button and F10 to stop.
Detenida con F10	Stopped with F10
Detenida con F8	Stopped with F8
MARCA IZQUIERDA · SÍ / COMPRAR	MARK LEFT · YES / BUY
MARCA CENTRO · NÚMERO / …	MARK MIDDLE · NUMBER / …
MARCA DERECHA · NO / CANCELAR	MARK RIGHT · NO / CANCEL
Marcando botón de compra…	Marking purchase button…
